mot,traduction,type,niveau,genre,plural,expression,example,present,passeCompose
maison,casa,nom,A1,f,maisons,rentrer à la maison,J'habite dans une grande maison.,,
manger,comer,verbe,A1,,,manger sur le pouce,Nous mangeons ensemble ce soir.,je mange / tu manges / il mange,j'ai mangé
rapide,rápido,adjectif,A2,,,aller vite,Cette voiture est très rapide.,,
parler,hablar,verbe,A1,,,parler couramment,Elle parle français couramment.,je parle / tu parles / il parle,j'ai parlé
travail,trabajo,nom,A2,m,travaux,chercher du travail,Il a trouvé un nouveau travail.,,
finir,terminar,verbe,A2,,,finir par,Nous finissons nos devoirs.,je finis / tu finis / il finit,j'ai fini
important,importante,adjectif,B1,,,il est important de,C'est un détail important.,,
comprendre,comprender,verbe,B1,,,ne rien comprendre,Je ne comprends pas cette règle.,je comprends / tu comprends / il comprend,j'ai compris
décision,decisión,nom,B1,f,décisions,prendre une décision,Il faut prendre une décision rapide.,,
malgré,a pesar de,mot invariable,B1,,,malgré tout,Malgré la pluie, nous sommes sortis.,,
